id,user_pattern,departure_station,arrival_station,arrival_day,arrival_time,purchase_day,service,service_departure_time,service_arrival_time,seat,price,utility,best_service,best_seat,best_utility
1,Student,60000,04040,2023-09-06,15.203025298272536,1,03153_06-09-2023-15.30,15.5,18.7,Básico,58.9,25.5721875,03143_06-09-2023-14.30,Básico,25.86640625
10,Student,60000,04040,2023-09-06,11.380067408257434,2,03143_06-09-2023-14.30,14.5,18.416666666666668,Elige,44.15,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
100,Business,60000,04040,2023-09-06,9.720905100998053,5,03073_06-09-2023-07.30,7.5,10.7,Elige,92,98.6,03073_06-09-2023-07.30,Básico,98.6
1000,Student,60000,04040,2023-09-06,19.61296471743025,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,36.8,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
1001,Tourist,60000,04040,2023-09-06,10.004861640715182,7,06309_06-09-2023-19.30,19.5,23.85,Básico,39,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
1002,Student,60000,04040,2023-09-06,19.89543267146991,0,,,,,,,03143_06-09-2023-14.30,Básico,25.86640625
1003,Tourist,60000,04040,2023-09-06,23.44893117034387,8,06309_06-09-2023-19.30,19.5,23.85,Básico,39,49.868125,03203_06-09-2023-20.40,Básico,51.13333333333334
1004,Student,60000,04040,2023-09-06,15.35256486411061,2,03153_06-09-2023-15.30,15.5,18.7,Básico,58.9,25.5721875,03143_06-09-2023-14.30,Básico,25.86640625
1005,Student,60000,04040,2023-09-06,18.964530326660007,0,,,,,,,03143_06-09-2023-14.30,Básico,25.86640625
1006,Business,60000,04040,2023-09-06,7.326472130657866,5,03083_06-09-2023-08.30,8.5,11.25,Premium,87.5,97.5,03073_06-09-2023-07.30,Básico,98.6
1007,Business,60000,04040,2023-09-06,7.909819701728461,5,03083_06-09-2023-08.30,8.5,11.25,Premium,87.5,97.5,03073_06-09-2023-07.30,Básico,98.6
1008,Business,60000,04040,2023-09-06,8.01743789283353,5,03083_06-09-2023-08.30,8.5,11.25,Premium,87.5,97.5,03073_06-09-2023-07.30,Básico,98.6
1009,Business,60000,04040,2023-09-06,7.338199522504052,4,03063_06-09-2023-06.30,6.5,9.333333333333334,Básico,29.45,80,03073_06-09-2023-07.30,Básico,98.6
101,Student,60000,04040,2023-09-06,20.73527261740404,1,03153_06-09-2023-15.30,15.5,18.7,Básico,58.9,25.5721875,03143_06-09-2023-14.30,Básico,25.86640625
1010,Business,60000,04040,2023-09-06,9.825691378957895,6,03073_06-09-2023-07.30,7.5,10.7,Básico,73.6,98.6,03073_06-09-2023-07.30,Básico,98.6
1011,Student,60000,04040,2023-09-06,18.05776909700338,0,,,,,,,03143_06-09-2023-14.30,Básico,25.86640625
1012,Student,60000,04040,2023-09-06,22.907267830216824,2,03153_06-09-2023-15.30,15.5,18.7,Básico,58.9,25.5721875,03143_06-09-2023-14.30,Básico,25.86640625
1013,Student,60000,04040,2023-09-06,17.744950451137417,1,03163_06-09-2023-16.30,16.5,20.466666666666665,Básico,58.9,24.913125,03143_06-09-2023-14.30,Básico,25.86640625
1014,Business,60000,04040,2023-09-06,8.095602222068266,6,03073_06-09-2023-07.30,7.5,10.7,Básico,73.6,98.6,03073_06-09-2023-07.30,Básico,98.6
1015,Student,60000,04040,2023-09-06,18.14134045091007,3,03143_06-09-2023-14.30,14.5,18.416666666666668,Básico,36.8,25.86640625,03143_06-09-2023-14.30,Básico,25.86640625
1016,Business,60000,04040,2023-09-06,7.614740446788384,3,,,,,,,03073_06-09-2023-07.30,Básico,98.6
