ID,NAME,CITY
02002,PUENTE GENIL-HERRERA,PUENTE GENIL
02003,ANTEQUERA-SANTA ANA,ANTEQUERA
02030,ANTEQUERA AV,ANTEQUERA
03208,CUENCA FERNANDO ZÓBEL,CUENCA
03213,REQUENA UTIEL,REQUENA
03216,VALENCIA JOAQUÍN SOROLLA,VALENCIA
03309,VILLENA AV,VILLENA
03410,ELCHE AV/ELX AV,ELCHE
04007,GUADALAJARA - YEBES,GUADALAJARA
04040,ZARAGOZA-DELICIAS,ZARAGOZA
04104,CAMP TARRAGONA,TARRAGONA
04307,FIGUERES VILAFANT,FIGUERES
05000,GRANADA,GRANADA
05012,LOJA,LOJA
08004,SEGOVIA GUIOMAR,SEGOVIA
08223,VIGO URZAIZ,VIGO
08240,MEDINA DEL CAMPO ALTA VELOCIDAD,MEDINA DEL CAMPO
08247,SANABRIA ALTA VELOCIDAD,PUEBLA DE SANABRIA
08251,A GUDIÑA-PORTA DE GALICIA,A GUDIÑA
10600,VALLADOLID,VALLADOLID
11014,BURGOS ROSA MANZANO,BURGOS
14100,PALENCIA,PALENCIA
15100,LEÓN,LEÓN
15211,OVIEDO/UVIÉU,OVIEDO
15402,GIJÓN/XIXÓN,GIJÓN
17000,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,MADRID
20400,BETANZOS-INFESTA,BETANZOS
21001,BETANZOS-CIDADE,BETANZOS
21004,PONTEDEUME,PONTEDEUME
21010,FERROL,FERROL
22100,OURENSE,OURENSE
23004,PONTEVEDRA,PONTEVEDRA
23008,VILAGARCIA DE AROUSA,VILAGARCIA DE AROUSA
30200,ZAMORA,ZAMORA
31400,SANTIAGO DE COMPOSTELA,SANTIAGO DE COMPOSTELA
31412,A CORUÑA,A CORUÑA
37200,CIUDAD REAL,CIUDAD REAL
37300,PUERTOLLANO,PUERTOLLANO
37704,VILLANUEVA DE CÓRDOBA-LOS PEDROCHES,VILLANUEVA DE CÓRDOBA
43011,LA PALMA DEL CONDADO,LA PALMA DEL CONDADO
43019,HUELVA,HUELVA
50500,CÓRDOBA,CÓRDOBA
51003,SEVILLA-SANTA JUSTA,SEVILLA
51300,JEREZ DE LA FRONTERA,JEREZ DE LA FRONTERA
51400,PUERTO DE SANTA MARÍA,PUERTO DE SANTA MARÍA
51405,CÁDIZ,CÁDIZ
51406,SAN FERNANDO-BAHÍA SUR,SAN FERNANDO
54413,MÁLAGA MARÍA ZAMBRANO,MÁLAGA
55007,RONDA,RONDA
55018,SAN ROQUE-LA LÍNEA,SAN ROQUE
55020,ALGECIRAS,ALGECIRAS
56200,GUADIX,GUADIX
56312,ALMERÍA,ALMERÍA
60000,MADRID PTA. ATOCHA - ALMUDENA GRANDES,MADRID
60600,ALBACETE-LOS LLANOS,ALBACETE
60911,ALICANTE/ALACANT,ALICANTE
61200,MURCIA,MURCIA
62002,ORIHUELA-MIGUEL HERNÁNDEZ,ORIHUELA
65200,SAGUNT/SAGUNTO,SAGUNT
65300,CASTELLÓ,CASTELLÓ
70600,CALATAYUD,CALATAYUD
71801,BARCELONA-SANTS,BARCELONA
78400,LLEIDA-PIRINEUS,LLEIDA
79206,GIRONA,GIRONA
87088,NARBONNE,NARBONNE
87089,MARSEILLE ST CHARLES,MARSEILLE
87173,MONTPELLIER SAINT-ROCH,MONTPELLIER
87302,NIMES,NIMES
87374,PERPIGNAN,PERPIGNAN
87814,AVIGNON TGV,AVIGNON
87912,AIX EN PROVENCE TGV,AIX EN PROVENCE
