ID,NAME,CITY,SHORT_NAME,LATITUD,LONGITUD
60000,MADRID PTA. ATOCHA - ALMUDENA GRANDES,MADRID,MADRI,40.406442,-3.690886
04007,GUADALAJARA - YEBES,GUADALAJARA,04007,40.587315,-3.124301
70600,CALATAYUD,CALATAYUD,70600,41.346692,-1.63868
04040,ZARAGOZA-DELICIAS,ZARAGOZA,ZARAG,41.658649,-0.911615
78400,LLEIDA-PIRINEUS,LLEIDA,78400,41.620696,0.632669
04104,CAMP TARRAGONA,TARRAGONA,04104,41.192066,1.272666
71801,BARCELONA-SANTS,BARCELONA,BARCE,41.37922,2.140624
79206,GIRONA,GIRONA,79206,41.953481,2.80536
04307,FIGUERES VILAFANT,FIGUERES,04307,42.264771,2.943547
87374,PERPIGNAN,PERPIGNAN,87374,42.696421,2.880381
87088,NARBONNE,NARBONNE,87088,43.190253,3.005716
87173,MONTPELLIER SAINT-ROCH,MONTPELLIER,87173,43.604852,3.880491
87302,NIMES,NIMES,87302,43.832291,4.365845
87814,AVIGNON TGV,AVIGNON,87814,43.921938,4.785813
87912,AIX EN PROVENCE TGV,AIX EN PROVENCE,87912,43.455268,5.31723
87089,MARSEILLE ST CHARLES,MARSEILLE,87089,43.30349,5.382236
37200,CIUDAD REAL,CIUDAD REAL,37200,38.9853,-3.913633
37300,PUERTOLLANO,PUERTOLLANO,37300,38.69128,-4.111655
37704,VILLANUEVA DE CÓRDOBA-LOS PEDROCHES,VILLANUEVA DE CÓRDOBA,37704,38.2554049,-4.570952
50500,CÓRDOBA,CÓRDOBA,50500,37.888291,-4.789453
51003,SEVILLA-SANTA JUSTA,SEVILLA,51003,37.3921277,-5.9752694
43011,LA PALMA DEL CONDADO,LA PALMA DEL CONDADO,43011,37.390665,-6.554444
43019,HUELVA,HUELVA,43019,37.2525922,-6.9448154
51300,JEREZ DE LA FRONTERA,JEREZ DE LA FRONTERA,51300,36.680029,-6.1264716
51400,PUERTO DE SANTA MARÍA,PUERTO DE SANTA MARÍA,51400,36.6037962,-6.2171641
51406,SAN FERNANDO-BAHÍA SUR,SAN FERNANDO,51406,36.4680361,-6.2067638
51405,CÁDIZ,CÁDIZ,51405,36.5290083,-6.2882055
02002,PUENTE GENIL-HERRERA,PUENTE GENIL,PTE G,37.3579,-4.821638
02003,ANTEQUERA-SANTA ANA,ANTEQUERA,ANTEQ,37.069881,-4.719014
02030,ANTEQUERA AV,ANTEQUERA,02030,37.0334437,-4.5612901
55007,RONDA,RONDA,55007,36.748401,-5.16197
55018,SAN ROQUE-LA LÍNEA,SAN ROQUE,55018,36.214482,-5.432399
55020,ALGECIRAS,ALGECIRAS,55020,36.126831,-5.451108
54413,MÁLAGA MARÍA ZAMBRANO,MÁLAGA,54413,36.7113388,-4.4313888
05012,LOJA,LOJA,05012,37.175372,-4.134841
05000,GRANADA,GRANADA,05000,37.184038,-3.609154
56200,GUADIX,GUADIX,56200,37.316873,-3.127209
56312,ALMERÍA,ALMERÍA,56312,36.834951,-2.455519
08004,SEGOVIA GUIOMAR,SEGOVIA,08004,40.910577,-4.094564
08240,MEDINA DEL CAMPO ALTA VELOCIDAD,MEDINA DEL CAMPO,08240,41.317459,-4.910071
30200,ZAMORA,ZAMORA,30200,41.515892,-5.739675
08247,SANABRIA ALTA VELOCIDAD,PUEBLA DE SANABRIA,08247,42.045763,-6.626848
08251,A GUDIÑA-PORTA DE GALICIA,A GUDIÑA,08251,42.0606439,-7.132532
22100,OURENSE,OURENSE,22100,42.350389,-7.872777
31400,SANTIAGO DE COMPOSTELA,SANTIAGO DE COMPOSTELA,31400,42.870842,-8.544697
31412,A CORUÑA,A CORUÑA,31412,43.3496932,-8.4155629
20400,BETANZOS-INFESTA,BETANZOS,20400,43.270698,-8.225847
21001,BETANZOS-CIDADE,BETANZOS,21001,43.284137,-8.215874
21004,PONTEDEUME,PONTEDEUME,21004,43.411797,-8.180416
21010,FERROL,FERROL,21010,43.4880349,-8.231143
23008,VILAGARCIA DE AROUSA,VILAGARCIA DE AROUSA,23008,42.602189,-8.762523
23004,PONTEVEDRA,PONTEVEDRA,23004,42.421969,-8.635546
08223,VIGO URZAIZ,VIGO,VIGO-,42.234189,-8.713728
10600,VALLADOLID,VALLADOLID,10600,41.642167,-4.726986
14100,PALENCIA,PALENCIA,14100,42.015711,-4.534135
15100,LEÓN,LEÓN,15100,42.596048,-5.582428
15211,OVIEDO/UVIÉU,OVIEDO,15211,43.366841,-5.854263
15402,GIJÓN/XIXÓN,GIJÓN,15402,43.539243,-5.675436
11014,BURGOS ROSA MANZANO,BURGOS,11014,42.371197,-3.666308
17000,MADRID-CHAMARTÍN-CLARA CAMPOAMOR,MADRID,17000,40.4720993,-3.6824687
03208,CUENCA FERNANDO ZÓBEL,CUENCA,03208,40.035192,-2.14441
03213,REQUENA UTIEL,REQUENA,03213,39.519834,-1.127601
03216,VALENCIA JOAQUÍN SOROLLA,VALENCIA,VALEN,39.459051,-0.382923
65200,SAGUNT/SAGUNTO,SAGUNT,65200,39.6756611,-0.2715972
65300,CASTELLÓ,CASTELLÓ,65300,39.9882552,-0.0524126
60600,ALBACETE-LOS LLANOS,ALBACETE,60600,38.999384,-1.84845
03309,VILLENA AV,VILLENA,03309,38.585302,-0.873295
60911,ALICANTE/ALACANT,ALICANTE,60911,38.34445,-0.4950527
03410,ELCHE AV/ELX AV,ELCHE,03410,38.24551,-0.76675
62002,ORIHUELA-MIGUEL HERNÁNDEZ,ORIHUELA,62002,38.0779194,-0.94445
61200,MURCIA,MURCIA,61200,37.97465,-1.1299555
